Date,Open,High,Low,Close,Adj Close,Volume
2018-07-18,381.700012,381.700012,378.320007,378.899994,296.370361,5900
2018-07-19,378.500000,385.000000,378.500000,384.089996,300.429901,6700
2018-07-20,384.869995,385.000000,382.429993,385.000000,301.141724,3600
2018-07-23,385.369995,385.369995,381.070007,382.600006,299.264496,4000
2018-07-24,383.549988,383.549988,381.130005,381.130005,298.114685,4300
2018-07-25,381.929993,381.929993,379.000000,380.040009,297.262085,3500
2018-07-26,378.619995,381.000000,378.619995,381.000000,298.012970,1700
2018-07-27,381.160004,382.950012,377.100006,377.329987,295.142273,5000
2018-07-30,376.489990,376.489990,361.390015,365.019989,285.513611,5200
2018-07-31,370.859985,372.500000,370.480011,370.480011,289.784393,3300
2018-08-01,370.940002,370.940002,366.799988,369.510010,289.025665,3300
2018-08-02,371.989990,372.000000,369.279999,371.959991,290.941956,5100
2018-08-03,368.690002,368.760010,365.000000,365.059998,289.041687,4900
2018-08-06,364.459991,368.950012,363.450012,368.899994,292.082123,1400
2018-08-07,367.239990,367.239990,363.640015,363.640015,287.917480,7600
2018-08-08,363.750000,367.600006,363.410004,363.410004,287.735291,1700
2018-08-09,362.600006,366.940002,362.600006,366.940002,290.530304,3700
2018-08-10,366.320007,366.320007,363.179993,363.179993,287.553192,1400
2018-08-13,363.980011,363.980011,359.609985,360.600006,285.510468,5300
2018-08-14,361.929993,363.190002,360.600006,360.600006,285.510468,3100
2018-08-15,359.130005,362.980011,357.500000,362.970001,287.386993,7000
2018-08-16,363.570007,369.470001,363.570007,369.470001,292.533386,5100
2018-08-17,368.079987,371.820007,368.079987,369.899994,292.873901,2600
2018-08-20,368.200012,369.700012,368.200012,369.700012,292.715515,1800
2018-08-21,370.000000,373.760010,368.549988,368.649994,291.884155,3600
2018-08-22,367.910004,370.000000,367.910004,370.000000,292.953003,1800
2018-08-23,370.160004,370.160004,368.369995,368.369995,291.662537,2500
2018-08-24,367.000000,367.000000,366.000000,366.000000,289.786041,1800
2018-08-27,367.320007,369.779999,365.000000,365.459991,289.358459,7500
2018-08-28,365.170013,365.540009,362.829987,365.540009,289.421814,1800
2018-08-29,364.489990,366.570007,364.489990,366.570007,290.237366,3500
2018-08-30,366.880005,366.880005,360.929993,360.929993,285.771729,3500
2018-08-31,360.899994,362.739990,356.570007,360.929993,285.771729,3800
2018-09-04,361.000000,361.000000,357.000000,357.000000,282.660126,3800
2018-09-05,357.010010,361.470001,354.619995,354.619995,280.775757,6700
2018-09-06,354.929993,358.850006,354.929993,358.850006,284.124939,4000
2018-09-07,355.390015,356.000000,345.470001,348.799988,276.167694,5300
2018-09-10,347.140015,351.000000,346.070007,348.899994,276.246796,4300
2018-09-11,347.799988,349.390015,346.040009,346.040009,273.982361,3800
2018-09-12,345.540009,346.899994,342.649994,346.899994,274.663300,5400
2018-09-13,346.070007,348.609985,345.329987,345.600006,273.634003,3900
2018-09-14,346.089996,348.369995,345.760010,346.230011,274.132813,3700
2018-09-17,346.500000,348.679993,345.500000,345.500000,273.554810,2700
2018-09-18,346.029999,346.029999,343.299988,343.299988,271.812988,3900
2018-09-19,343.600006,345.519989,341.410004,341.410004,270.316528,4300
2018-09-20,345.799988,350.000000,345.649994,345.809998,273.800323,6200
2018-09-21,345.970001,347.130005,343.010010,345.070007,273.214386,22400
2018-09-24,344.399994,347.200012,342.470001,343.799988,272.208832,6200
2018-09-25,343.820007,347.079987,343.420013,346.839996,274.615753,5400
2018-09-26,346.350006,346.350006,341.179993,342.109985,270.870789,4300
2018-09-27,342.790009,343.559998,341.470001,341.470001,270.363922,1500
2018-09-28,341.000000,345.799988,341.000000,343.299988,271.812988,7000
2018-10-01,344.410004,353.000000,344.309998,348.809998,276.175537,16900
2018-10-02,349.040009,350.700012,343.670013,345.049988,273.198517,5800
2018-10-03,344.000000,345.579987,343.779999,345.579987,273.618195,7000
2018-10-04,344.950012,345.890015,339.679993,341.779999,270.609467,6800
2018-10-05,343.000000,345.250000,339.799988,343.000000,271.575439,3700
2018-10-08,342.250000,346.399994,342.250000,345.950012,273.911102,7500
2018-10-09,346.070007,347.510010,344.549988,346.899994,274.663300,6500
2018-10-10,346.769989,348.359985,342.209991,343.000000,271.575439,6000
2018-10-11,342.279999,342.329987,334.049988,334.049988,264.489105,4000
2018-10-12,337.200012,338.040009,325.000000,327.350006,259.184357,15400
2018-10-15,326.799988,329.299988,323.109985,327.959991,259.667297,7100
2018-10-16,328.899994,332.559998,327.000000,332.549988,263.301514,5700
2018-10-17,332.000000,333.000000,330.500000,330.660004,261.805023,4500
2018-10-18,330.010010,331.399994,327.500000,329.850006,261.163757,2800
2018-10-19,329.940002,330.700012,327.140015,330.000000,261.282501,4100
2018-10-22,330.660004,333.190002,329.709991,333.190002,263.808167,2700
2018-10-23,330.140015,333.000000,328.589996,331.290009,262.303864,5100
2018-10-24,331.630005,333.000000,329.000000,330.000000,261.282501,5300
2018-10-25,331.079987,332.820007,330.489990,332.820007,263.515259,4100
2018-10-26,330.000000,331.000000,325.510010,326.260010,258.321289,8500
2018-10-29,333.790009,333.790009,322.649994,325.730011,257.901672,5200
2018-10-30,325.380005,327.299988,322.989990,323.959991,256.500183,4000
2018-10-31,325.940002,327.329987,314.410004,315.010010,249.413971,20300
2018-11-01,315.679993,319.230011,313.010010,316.000000,250.197769,8400
2018-11-02,312.500000,316.869995,307.760010,310.809998,249.643585,4400
2018-11-05,311.230011,316.220001,309.570007,311.070007,249.852386,10600
2018-11-06,310.540009,314.989990,307.000000,312.160004,250.727936,7200
2018-11-07,312.500000,316.779999,312.500000,316.489990,254.205750,3700
2018-11-08,316.369995,319.140015,313.899994,319.140015,256.334229,1500
2018-11-09,318.750000,318.750000,316.299988,318.510010,255.828247,3700
2018-11-12,318.480011,320.970001,318.480011,318.510010,255.828247,2500
2018-11-13,319.049988,319.049988,315.000000,315.899994,253.731827,3000
2018-11-14,317.239990,317.619995,313.619995,313.769989,252.021072,3700
2018-11-15,313.459991,316.850006,313.459991,316.850006,254.494843,2600
2018-11-16,315.859985,318.200012,314.200012,315.730011,253.595276,4800
2018-11-19,315.700012,316.679993,313.700012,314.230011,252.390457,1400
2018-11-20,312.799988,316.790009,309.320007,310.779999,249.619461,2300
2018-11-21,311.529999,312.609985,309.529999,310.559998,249.442734,2100
2018-11-23,309.799988,313.049988,308.399994,313.049988,251.442703,1000
2018-11-26,312.739990,312.739990,307.750000,307.750000,247.185730,5000
2018-11-27,306.850006,307.190002,304.130005,304.130005,244.278152,4700
2018-11-28,306.450012,307.390015,304.549988,307.390015,246.896606,1800
2018-11-29,306.549988,310.399994,304.000000,307.799988,247.225922,12800
2018-11-30,311.869995,313.359985,307.920013,310.570007,249.450760,12400
2018-12-03,312.959991,315.010010,310.649994,310.649994,249.515015,4700
2018-12-04,311.269989,314.260010,305.100006,306.799988,246.422684,4600
2018-12-06,305.350006,311.470001,303.700012,310.329987,249.258011,11300
2018-12-07,310.459991,313.209991,310.459991,312.869995,251.298157,2400
2018-12-10,313.399994,313.399994,311.850006,312.160004,250.727936,2200
2018-12-11,313.420013,315.000000,308.989990,311.799988,250.438705,2300
2018-12-12,312.480011,312.480011,309.109985,310.059998,249.041122,3000
2018-12-13,311.130005,311.130005,308.350006,308.350006,247.667648,3200
2018-12-14,307.000000,308.350006,304.040009,308.350006,247.667648,2000
2018-12-17,307.720001,309.649994,303.850006,305.779999,245.603470,13300
2018-12-18,306.869995,309.350006,306.869995,308.079987,247.450775,2800
2018-12-19,308.359985,308.359985,304.369995,305.100006,245.057297,5400
2018-12-20,305.000000,305.000000,300.100006,300.799988,241.603439,9600
2018-12-21,301.549988,302.019989,298.250000,298.250000,239.555328,25500
2018-12-24,296.429993,299.470001,295.750000,296.000000,237.748108,3300
2018-12-26,296.510010,302.760010,296.510010,302.540009,243.001053,7100
2018-12-27,301.109985,304.940002,298.540009,303.190002,243.523148,6100
2018-12-28,301.649994,304.709991,301.429993,304.540009,244.607529,4600
2018-12-31,305.339996,306.290009,302.000000,304.739990,244.768112,7700
2019-01-02,302.000000,302.559998,300.989990,300.989990,241.756058,3300
2019-01-03,300.269989,303.299988,300.000000,303.190002,243.523148,3900
2019-01-04,304.429993,307.839996,304.279999,305.869995,245.675735,3300
2019-01-07,305.309998,308.380005,305.309998,308.339996,247.659576,3500
2019-01-08,308.929993,313.209991,308.929993,313.209991,251.571228,4700
2019-01-09,315.839996,317.899994,313.989990,317.899994,255.338242,3800
2019-01-10,315.019989,315.019989,315.019989,315.019989,253.025009,2000
2019-01-11,313.910004,314.000000,312.450012,312.450012,250.960800,3700
2019-01-14,312.320007,312.320007,309.989990,309.989990,248.984909,3100
